2020-12-21/12:02:05		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:06		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:06		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:06		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:06		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:06		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:06		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:06		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:06		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:06		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:06		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:06		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:06		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:06		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:06		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:06		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:06		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:06		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:06		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:07		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:07		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:07		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:07		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:07		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:07		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:07		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:07		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:07		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:07		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:07		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:07		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:07		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:07		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:07		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:07		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:08		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:08		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:08		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:08		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:08		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:08		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:09		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:09		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:09		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:09		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:09		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:09		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:09		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:09		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:09		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:09		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:09		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:09		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:09		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:09		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:10		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:10		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:10		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:10		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:10		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:10		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:10		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:10		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:10		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:10		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:10		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:10		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:10		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:11		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:11		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:11		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:11		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:11		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:11		 wafer_13012020_090817.csv: File loaded successfully!!
