2020-12-21/12:01:48		LenghthOfDateStampInFile:: 8	LengthOfTimeStampInFile :: 6	NumberofColumns :: 592

2020-12-22/11:24:38		LengthOfDateStampInFile:: 8	LengthOfTimeStampInFile:: 6	NumberofCoulmns:: 591

2020-12-22/11:27:21		LengthOfDateStampInFile:: 8	LengthOfTimeStampInFile:: 6	NumberofCoulmns:: 591

2020-12-22/11:34:06		LengthOfDateStampInFile:: 8	LengthOfTimeStampInFile:: 6	NumberofCoulmns:: 591

2020-12-22/11:37:32		LengthOfDateStampInFile:: 8	LengthOfTimeStampInFile:: 6	NumberofCoulmns:: 591

2020-12-22/11:54:46		LengthOfDateStampInFile:: 8	LengthOfTimeStampInFile:: 6	NumberofCoulmns:: 591

2020-12-23/11:08:52		LengthOfDateStampInFile:: 8	LengthOfTimeStampInFile:: 6	NumberofCoulmns:: 591

2020-12-23/11:18:37		LengthOfDateStampInFile:: 8	LengthOfTimeStampInFile:: 6	NumberofCoulmns:: 591

2020-12-23/11:21:16		LengthOfDateStampInFile:: 8	LengthOfTimeStampInFile:: 6	NumberofCoulmns:: 591

2020-12-23/11:31:26		LengthOfDateStampInFile:: 8	LengthOfTimeStampInFile:: 6	NumberofCoulmns:: 591

2020-12-23/14:56:52		LengthOfDateStampInFile:: 8	LengthOfTimeStampInFile:: 6	NumberofCoulmns:: 591

2020-12-24/11:29:37		LengthOfDateStampInFile:: 8	LengthOfTimeStampInFile:: 6	NumberofCoulmns:: 591

2020-12-24/12:11:13		LengthOfDateStampInFile:: 8	LengthOfTimeStampInFile:: 6	NumberofCoulmns:: 591

